                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1799,                 1.0422,                 1.3685,                   0.74,                0.72253,                0.76648,                0.48446,                 1.3208,                 1.0029,                  1.554,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.1768,                  1.025,                 1.3667,                0.71962,                0.69897,                0.75109,                0.45923,                 1.3871,                 1.0866,                 1.5993,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.1712,                 1.0322,                 1.3642,                0.67621,                 0.7187,                0.73621,                0.46978,                 1.2951,                 1.1257,                 1.5383,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.1412,                 1.0027,                 1.3408,                0.76319,                0.72415,                0.78102,                0.50893,                 1.2692,                0.98511,                 1.5133,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.1599,                0.97958,                 1.3511,                0.79075,                0.72596,                0.79826,                0.51805,                 1.2681,                 0.9636,                 1.5103,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.1247,                0.97147,                 1.3279,                0.76676,                0.73499,                 0.7818,                0.50469,                 1.2601,                0.97602,                 1.5198,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.1157,                0.97122,                 1.3271,                0.76748,                0.73413,                0.78807,                0.50389,                 1.2821,                0.98561,                 1.5231,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.1422,                0.97677,                 1.3376,                0.72842,                0.71538,                0.77417,                0.49237,                 1.2717,                 1.0339,                 1.5218,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.1191,                0.93991,                 1.3175,                0.70483,                0.76592,                0.76672,                0.49087,                 1.2596,                 1.0383,                 1.4886,               0.001604,               0.001604,               0.001604
                     42,                 1.1259,                 0.9812,                 1.3307,                0.72746,                0.75386,                0.78553,                0.51121,                 1.2702,                0.96361,                  1.512,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1024,                0.96079,                 1.3072,                0.73595,                 0.7721,                0.79109,                0.52042,                 1.2219,                0.99276,                 1.4897,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.1214,                0.94361,                 1.3242,                0.76417,                0.75035,                0.78155,                0.50473,                 1.2447,                0.96176,                 1.5049,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.1031,                 0.9319,                 1.3106,                0.74194,                0.75043,                0.78971,                0.51066,                 1.2754,                 0.9657,                 1.5221,              0.0015644,              0.0015644,              0.0015644
